id;title;imdbID;rtAllCriticsRating;rtAllCriticsNumReviews;rtAllCriticsNumFresh;rtAllCriticsNumRotten;rtAllCriticsScore;rtTopCriticsRating;rtTopCriticsNumReviews;rtTopCriticsNumFresh;rtTopCriticsNumRotten;rtTopCriticsScore;rtAudienceRating;rtAudienceNumRatings;rtAudienceScore
166;The Doom Generation;112887;4.9;29;14;15;48;5.3;12;7;5;58;3.3;2680;64
167;Feast of July;113044;6.2;9;6;3;66;0;4;2;2;50;2.9;226;40
168;First Knight;113071;5.2;42;19;23;45;5.5;14;7;7;50;3;13290;59
169;Free Willy 2: The Adventure Home;113114;4.6;12;3;9;25;0;3;1;2;33;2.8;8336;53
170;Hackers;113243;4.7;19;7;12;36;0;3;2;1;66;3.2;16863;66
171;Jeffrey;113464;6.1;23;14;9;60;5.7;9;4;5;44;3.4;836;68
172;Johnny Mnemonic;113481;3.3;28;4;24;14;4.7;5;1;4;20;2.5;7062;33
173;Judge Dredd;113492;3.6;47;7;40;14;3.7;10;0;10;0;2.5;10571;35
174;Jury Duty;113500;2.1;11;0;11;0;0;2;0;2;0;2.4;1843;33
175;Kids;113540;5;52;26;26;50;6.5;7;4;3;57;3.5;11282;78
176;Living in Oblivion;113677;7.4;24;21;3;87;0;2;2;0;100;3.8;1878;85
177;Lord of Illusions;113690;5.7;19;13;6;68;0;2;1;1;50;3;2344;51
178;Love & Human Remains;107447;6.5;11;7;4;63;0;4;2;2;50;0;0;0
179;Mad Love;113729;0;0;0;0;0;0;0;0;0;0;0;0;0
180;Mallrats;113749;5.4;40;21;19;52;5;9;2;7;22;3.6;40221;83
181;Mighty Morphin Power Rangers: The Movie;113820;4.6;19;8;11;42;5.5;8;5;3;62;2.7;5904;52
182;Moonlight and Valentino;113851;4.6;13;2;11;15;0;3;0;3;0;3.1;978;51
183;Mute Witness;110604;6.9;19;15;4;78;7.3;6;5;1;83;3.2;644;61
184;Nadja;110620;0;0;0;0;0;0;0;0;0;0;0;0;0
185;The Net;113957;5.1;33;11;22;33;6.9;5;3;2;60;2.8;10933;50
186;Nine Months;113986;4.3;24;6;18;25;5;5;1;4;20;2.7;8930;40
187;Party Girl;114095;6.3;31;24;7;77;6;13;8;5;61;3.5;1243;73
188;The Prophecy;114194;5.2;19;8;11;42;0;1;0;1;0;3.3;5062;71
189;The Reckless Moment;41786;0;3;3;0;100;0;0;0;0;0;0;0;0
190;Fail-Safe;58083;7.6;13;12;1;92;0;0;0;0;0;0;0;0
191;The Scarlet Letter;114345;3;33;5;28;15;3.6;11;1;10;9;2.9;3493;48
193;Showgirls;114436;2.9;41;5;36;12;3.4;10;0;10;0;2.3;7443;35
194;Smoke;114478;7.8;27;25;2;92;0;4;3;1;75;3.9;3101;88
195;Something to Talk About;114496;5.3;27;10;17;37;6.5;9;5;4;55;3;6137;55
196;Species;114508;4.9;31;12;19;38;5.1;5;1;4;20;2.7;6716;37
197;The Stars Fell on Henrietta;114534;4.9;7;2;5;28;0;1;0;1;0;3;66;18
198;Strange Days;114558;6;38;23;15;60;5.9;8;4;4;50;3.3;7016;70
199;Les parapluies de Cherbourg;58450;8.6;45;44;1;97;7.9;10;9;1;90;4.1;3199;86
200;The Tie That Binds;114666;2.8;9;1;8;11;0;3;0;3;0;3;286;34
201;Three Wishes;114663;4.4;15;2;13;13;0;4;0;4;0;3;1249;52
202;Total Eclipse;114702;4.9;16;4;12;25;0;4;1;3;25;3.4;2222;63
203;To Wong Foo Thanks for Everything, Julie Newmar;114682;5;23;8;15;34;5.2;5;0;5;0;3.1;6833;69
204;Under Siege 2: Dark Territory;114781;4.5;29;10;19;34;0;3;2;1;66;2.6;5213;47
205;Unstrung Heroes;114798;6.3;21;16;5;76;0;4;2;2;50;3.2;530;54
206;Unzipped;114805;6.7;13;10;3;76;7.9;5;5;0;100;3.3;64;67
207;A Walk in the Clouds;114887;5.5;22;9;13;40;0;3;1;2;33;3.3;12692;74
208;Waterworld;114898;5.1;48;20;28;41;6.4;9;7;2;77;2.6;18023;46
209;White Man's Burden;114928;4.5;32;8;24;25;4.4;10;1;9;10;2.8;1275;38
210;Wild Bill;114938;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
211;The Browning Version;43362;7.8;17;15;2;88;0;3;1;2;33;4.3;270;94
212;Bushwhacked;112602;2.1;9;0;9;0;0;2;0;2;0;2.6;1388;38
213;Utomlyonnye solntsem;111579;7;13;10;3;76;0;4;3;1;75;4.3;1533;93
214;Before the Rain;110882;7.5;12;10;2;83;0;2;2;0;100;4.4;1683;93
215;Before Sunrise;112471;8.2;34;34;0;100;9.3;5;5;0;100;4.1;20616;92
216;Billy Madison;112508;4.8;35;15;20;42;0;4;1;3;25;3.5;91595;79
217;The Babysitters;796302;4.4;26;8;18;30;4.6;12;3;9;25;2.9;1237;35
218;Boys on the Side;112571;6;32;23;9;71;6.1;8;5;3;62;3.1;4572;65
219;The Cure;112757;5.5;10;4;6;40;0;4;1;3;25;3.7;2207;79
220;Castle Freak;112643;5.4;7;4;3;57;0;0;0;0;0;0;0;0
222;Circle of Friends;112679;6.5;35;27;8;77;6.5;11;8;3;72;3.3;3292;65
223;Clerks.;109445;7.4;48;42;6;87;7.1;9;8;1;88;3.8;57642;89
224;Don Juan DeMarco;112883;5.8;22;16;6;72;0;2;1;1;50;3.3;14169;70
225;Disclosure;109635;5.7;40;24;16;60;5.8;9;5;4;55;2.8;3648;41
226;Tucker: The Man and His Dream;96316;7.2;35;30;5;85;6.8;7;5;2;71;3.2;1497;58
227;Drop Zone;109676;4.1;19;6;13;31;0;3;1;2;33;2.7;2485;36
228;Destiny Turns on the Radio;112854;2.7;15;2;13;13;0;2;0;2;0;2.6;446;27
229;Death and the Maiden;109579;7;48;40;8;83;6.2;10;7;3;70;3.6;1972;76
230;Dolores Claiborne;109642;6.8;33;28;5;84;0;4;3;1;75;3.4;4632;75
231;Dumb & Dumber;109686;5.8;45;28;17;62;4.8;10;4;6;40;3.3;95871;79
232;Yin shi nan nu;111797;7.4;31;29;2;93;7.9;8;8;0;100;4;3802;91
233;Exotica;109759;8.3;27;26;1;96;0;3;3;0;100;3.7;1837;81
234;Exit to Eden;109758;2.4;15;1;14;6;0;3;0;3;0;2.3;1694;27
235;Ed Wood;109707;7.9;57;52;5;91;7.2;12;9;3;75;3.7;28216;83
236;French Kiss;113117;5.7;21;10;11;47;0;4;1;3;25;3.2;11010;70
237;Forget Paris;113097;5.4;33;17;16;51;4.7;8;2;6;25;3;2108;51
238;Far from Home: The Adventures of Yellow Dog;113028;5.2;6;3;3;50;0;0;0;0;0;0;0;0
239;A Goofy Movie;113198;5.7;14;8;6;57;0;2;1;1;50;3.1;17024;57
240;Hideaway;113303;3.5;12;2;10;16;0;4;1;3;25;2.8;1077;41
241;Fluke;113089;4;9;3;6;33;0;3;0;3;0;3.4;1598;70
242;Farinelli;109771;5.7;21;14;7;66;4.7;6;2;4;33;3.8;1092;81
243;Flash Gordon;80745;6.3;32;26;6;81;0;3;2;1;66;3.1;6492;64
244;Gumby: The Movie;113234;0;4;0;4;0;0;0;0;0;0;0;0;0
245;The Glass Shield;109906;5.6;21;13;8;61;5.2;7;3;4;42;3;263;41
246;Hoop Dreams;110057;8.5;44;43;1;97;8.1;12;12;0;100;4.1;3243;92
247;Heavenly Creatures;110005;8.3;41;39;2;95;7.8;9;9;0;100;3.7;8208;82
248;Houseguest;110066;3.4;20;3;17;15;5.2;5;3;2;60;2.8;1745;51
249;Immortal Beloved;110116;6;30;17;13;56;0;3;2;1;66;3.8;4786;87
250;Heavy Weights;110006;4.1;5;1;4;20;0;0;0;0;0;0;0;0
251;The Hunted;269347;4.7;143;44;99;30;4.5;34;10;24;29;3;5362;51
252;I.Q.;110099;5.1;21;9;12;42;0;3;1;2;33;2.8;3758;46
253;Interview with the Vampire: The Vampire Chronicles;110148;5.8;45;26;19;57;4.6;10;4;6;40;3.7;77706;85
254;Jefferson in Paris;113463;4.9;14;5;9;35;0;3;1;2;33;2.8;404;27
255;The Jerky Boys;110189;1.6;10;1;9;10;0;0;0;0;0;0;0;0
256;Junior;110216;4.7;30;10;20;33;5.8;8;5;3;62;2.4;9754;28
257;Just Cause;113501;4;26;6;20;23;4.2;8;2;6;25;3.1;2888;51
258;A Kid in King Arthur's Court;113538;3.2;6;0;6;0;0;0;0;0;0;0;0;0
259;Kiss of Death;113552;6.4;36;24;12;66;7.2;12;9;3;75;2.9;2125;39
260;Star Wars;76759;8.2;64;60;4;93;7.4;17;15;2;88;4.1;147448;93
261;Little Women;110367;0;0;0;0;0;0;0;0;0;0;0;0;0
262;A Little Princess;113670;8.4;20;19;1;95;0;3;3;0;100;3.4;13643;81
263;Ladybird Ladybird;110296;7.2;6;4;2;66;0;2;2;0;100;4;368;87
264;L'enfer;109731;7.9;8;8;0;100;0;1;1;0;100;3.5;421;67
265;Como agua para chocolate;103994;7.6;28;25;3;89;0;3;3;0;100;3.9;5713;86
266;Legends of the Fall;110322;0;0;0;0;0;0;0;0;0;0;0;0;0
267;Major Payne;110443;4.6;10;3;7;30;0;2;1;1;50;2.9;8555;69
268;Little Odessa;110365;5.8;17;11;6;64;0;3;1;2;33;3.5;985;69
269;Mi vida loca;107566;6.6;15;12;3;80;0;3;2;1;66;3.9;2251;81
270;Love Affair;110391;4.8;26;8;18;30;0;3;1;2;33;3.5;1260;71
271;Losing Isaiah;113691;5.1;28;12;16;42;5;9;4;5;44;3.6;2364;76
272;The Madness of King George;110428;7.8;42;39;3;92;8.1;10;10;0;100;3.6;1886;76
273;Frankenstein;21884;8.5;38;38;0;100;7.8;5;5;0;100;3.6;7211;81
274;Man of the House;331933;3.3;60;5;55;8;3.9;16;4;12;25;3.1;10877;59
275;Mixed Nuts;110538;2.8;28;2;26;7;2.5;6;0;6;0;2.9;2410;46
276;Milk Money;110516;2.6;25;1;24;4;2.5;8;0;8;0;2.7;2126;40
277;Miracle on 34th Street;39628;8;31;29;2;93;0;2;2;0;100;3.5;5409;81
278;Miami Rhapsody;113808;6.1;18;8;10;44;0;3;2;1;66;2.6;766;28
279;My Family;113896;7.2;11;9;2;81;0;3;3;0;100;3.9;1137;85
280;Murder in the First;113870;5.5;34;17;17;50;4.8;10;4;6;40;3.5;3888;78
281;Nobody's Fool;91642;0;4;0;4;0;0;1;0;1;0;3;289;43
282;Nell;110638;5;31;16;15;51;0;3;3;0;100;3.1;5373;63
283;New Jersey Drive;113967;6.5;7;4;3;57;0;3;2;1;66;3.8;814;81
284;Nyû Yôku no koppu;117169;0;0;0;0;0;0;0;0;0;0;0;0;0
285;Beyond Bedlam;106402;0;1;0;1;0;0;0;0;0;0;0;0;0
286;Nemesis 2: Nebula;113948;0;0;0;0;0;0;0;0;0;0;0;0;0
287;Nina Takes a Lover;110671;5.2;6;3;3;50;0;2;0;2;0;3.4;125;52
288;Natural Born Killers;110632;6;29;15;14;51;5.9;7;3;4;42;3.5;39062;80
289;Only You;110737;5.5;22;11;11;50;0;3;1;2;33;3.3;4388;69
290;Once Were Warriors;110729;7.7;31;29;2;93;7.4;8;7;1;87;0;0;0
291;Poison Ivy II;114151;3.8;6;1;5;16;0;0;0;0;0;0;0;0
292;Outbreak;114069;5.6;41;24;17;58;5.1;10;4;6;40;3.1;10732;55
293;Léon;110413;6.8;39;30;9;76;5.8;8;4;4;50;4.1;59011;94
294;The Perez Family;114113;6.3;15;10;5;66;5.9;5;2;3;40;3.2;500;50
295;A Pyromaniac's Love Story;114210;3.4;9;0;9;0;0;2;0;2;0;3.1;773;44
296;Pulp Fiction;110912;8.9;50;47;3;94;8.4;14;13;1;92;4.2;249269;95
297;The Pink Panther 2;838232;3.5;128;16;112;12;3.9;25;4;21;16;3.1;77879;48
298;Tui shou;105652;0;2;2;0;100;0;0;0;0;0;0;0;0
299;Priest;110889;7.2;19;13;6;68;0;4;3;1;75;3.8;1042;81
300;Quiz Show;110932;8.1;50;48;2;96;8.2;12;12;0;100;3.5;5428;79
301;Picture Bride;114129;6.8;10;8;2;80;0;3;3;0;100;3.7;324;77
302;La reine Margot;110963;5.9;22;17;5;77;0;2;1;1;50;4;2511;86
303;The Quick and the Dead;114214;5.9;39;22;17;56;4.2;8;1;7;12;3.1;12178;56
304;Roommates;114296;5.1;13;4;9;30;0;2;0;2;0;3.2;387;51
305;Prêt-à-Porter;110907;4.8;21;6;15;28;4.3;5;0;5;0;2.5;1885;26
306;Trois couleurs: Rouge;111495;8.5;40;40;0;100;8.2;10;10;0;100;4.2;9557;94
307;Trois couleurs: Bleu;108394;8.4;32;32;0;100;8;5;5;0;100;4.2;11731;93
308;Trzy kolory: Bialy;111507;7.5;31;28;3;90;7.6;9;9;0;100;3.9;5105;86
309;Pao Da Shuang Deng;110769;0;4;3;1;75;0;1;0;1;0;4.6;71;100
310;Rent-a-Kid;114268;0;0;0;0;0;0;0;0;0;0;0;0;0
312;Stuart Saves His Family;114571;4.6;25;7;18;28;5.2;10;3;7;30;2.6;531;44
313;The Swan Princess;111333;5.3;9;4;5;44;0;3;2;1;66;3.1;5951;66
314;The Secret of Roan Inish;111112;7.8;40;39;1;97;7.5;12;11;1;91;3.9;1439;86
315;The Specialist;111255;3.1;24;1;23;4;3.8;5;0;5;0;2.5;5147;34
316;Stargate;111282;5.2;37;17;20;45;0;4;1;3;25;3.3;23611;75
317;Santa Claus;89961;4.1;17;3;14;17;0;1;0;1;0;3.1;2513;66
